score,rank,ticker,name,price,change%,signals,pt_BB,pt_出来高,pt_収縮,pt_MA,pt_MA75補正,BB上限,BB中央,BB下限,BW%,MA5,MA25,MA75,出来高比
45,★☆☆,7733.T,Olympus Corporation,1809.0,-2.0,"BB上抜け, 出来高急増, ゴールデンC",40,0,0,10,-5,1737.83,1585.72,1433.61,19.18,1663.6,1585.72,1570.73,2.01
45,★☆☆,7731.T,Nikon Corporation,2326.5,8.64,"BB上抜け, ゴールデンC",40,0,0,10,-5,2219.59,1913.48,1607.37,32.0,2095.3,1913.48,1924.09,1.66
45,★☆☆,8725.T,"MS&AD Insurance Group Holdings, Inc.",4399.0,-0.34,"BB上抜け, ゴールデンC",40,0,0,10,-5,4325.12,4077.52,3829.92,12.14,4220.0,4077.52,4048.1,1.06
45,★☆☆,4188.T,Mitsubishi Chemical Group Corporation,1054.0,4.67,"BB上抜け, ゴールデンC",40,0,0,10,-5,1035.35,953.9,872.46,17.08,967.8,953.9,986.6,1.98
35,★☆☆,1332.T,Nissui Corporation,1315.5,10.97,出来高急増,0,35,0,0,0,1409.67,1277.38,1145.09,20.71,1219.7,1277.38,1347.09,3.05
35,★☆☆,4043.T,Tokuyama Corporation,4865.0,3.51,BB上抜け,40,0,0,0,-5,4660.35,4001.76,3343.17,32.92,4576.6,4001.76,3995.39,1.12
35,★☆☆,2802.T,"Ajinomoto Co., Inc.",5542.0,1.08,BB上抜け,40,0,0,0,-5,5481.91,4854.44,4226.97,25.85,5398.6,4854.44,4463.51,1.18
35,★☆☆,2914.T,Japan Tobacco Inc.,6254.0,1.2,BB上抜け,40,0,0,0,-5,6235.76,5930.04,5624.32,10.31,6085.0,5930.04,5883.11,0.87
35,★☆☆,7004.T,Kanadevia Corporation,1348.0,-4.19,BB上抜け,40,0,0,0,-5,1340.24,1221.72,1103.2,19.4,1311.8,1221.72,1084.87,1.63
35,★☆☆,8015.T,Toyota Tsusho Corporation,7370.0,-0.37,BB上抜け,40,0,0,0,-5,7301.17,6495.96,5690.75,24.79,7126.2,6495.96,6329.27,0.96
35,★☆☆,PM,Philip Morris International Inc.,190.22,1.23,BB上抜け,40,0,0,0,-5,187.39,167.26,147.12,24.07,183.63,167.26,171.3,0.08
35,★☆☆,CSCO,"Cisco Systems, Inc.",116.39,14.25,BB上抜け,40,0,0,0,-5,106.07,91.07,76.07,32.95,102.57,91.07,83.23,1.55
35,★☆☆,HUM,Humana Inc.,302.54,-0.76,BB上抜け,40,0,0,0,-5,301.13,234.22,167.32,57.13,290.39,234.22,198.36,0.1
35,★☆☆,8058.T,Mitsubishi Corporation,5882.0,0.31,BB上抜け,40,0,0,0,-5,5810.25,5192.0,4573.75,23.82,5549.4,5192.0,5009.69,0.71
35,★☆☆,9007.T,"Odakyu Electric Railway Co., Ltd.",1705.5,9.26,出来高急増,0,35,0,0,0,1755.51,1636.76,1518.01,14.51,1591.4,1636.76,1655.38,3.15
35,★☆☆,NVDA,NVIDIA Corporation,233.15,3.24,BB上抜け,40,0,0,0,-5,228.33,206.06,183.79,21.62,222.88,206.06,190.11,0.36
35,★☆☆,6479.T,MINEBEA MITSUMI Inc.,3978.0,1.64,BB上抜け,40,0,0,0,-5,3793.67,3100.0,2406.33,44.75,3659.2,3100.0,3055.18,1.53
35,★☆☆,6178.T,"Japan Post Holdings Co., Ltd.",1951.0,0.49,BB上抜け,40,0,0,0,-5,1947.46,1852.36,1757.26,10.27,1904.8,1852.36,1862.33,1.03
35,★☆☆,4021.T,Nissan Chemical Corporation,7406.0,2.95,BB上抜け,40,0,0,0,-5,7257.94,6659.36,6060.78,17.98,7114.8,6659.36,6269.07,1.44
35,★☆☆,4751.T,"CyberAgent, Inc.",1316.5,4.73,出来高急増,0,35,0,0,0,1378.95,1293.82,1208.69,13.16,1260.5,1293.82,1335.7,3.86
35,★☆☆,6472.T,NTN Corporation,456.1,-4.86,BB上抜け,40,0,0,0,-5,454.61,371.3,288.0,44.87,441.68,371.3,367.8,1.98
35,★☆☆,6473.T,JTEKT Corporation,2059.0,0.98,BB上抜け,40,0,0,0,-5,2039.16,1809.08,1579.0,25.44,1992.7,1809.08,1825.64,1.11
35,★☆☆,5333.T,NGK Corporation,5787.0,0.98,BB上抜け,40,0,0,0,-5,5783.45,4757.48,3731.51,43.13,5611.2,4757.48,4276.75,1.08
35,★☆☆,PANW,"Palo Alto Networks, Inc.",232.51,2.07,BB上抜け,40,0,0,0,-5,225.31,184.33,143.35,44.46,219.49,184.33,169.2,0.3
35,★☆☆,FTNT,"Fortinet, Inc.",119.26,1.33,BB上抜け,40,0,0,0,-5,119.18,91.42,63.66,60.73,116.07,91.42,84.99,0.13
35,★☆☆,CRWD,"CrowdStrike Holdings, Inc.",568.6,1.07,BB上抜け,40,0,0,0,-5,567.4,464.25,361.11,44.44,549.48,464.25,427.62,0.19
